year,id,age,income,cohort
1984.0,5002.0,39.0,6789.1,1945.0
1994.0,5002.0,49.0,25209.52,1945.0
1982.0,5002.0,37.0,23945.75,1945.0
1992.0,5002.0,47.0,7397.15,1945.0
1978.0,5002.0,33.0,13206.5,1945.0
1997.0,5002.0,52.0,5388.0,1945.0
1987.0,5002.0,42.0,17065.7,1945.0
1988.0,5002.0,43.0,28475.1,1945.0
1993.0,5002.0,48.0,9278.75,1945.0
1991.0,5003.0,29.0,22167.25,1962.0
1993.0,5003.0,31.0,25909.3,1962.0
1996.0,5003.0,34.0,42593.77,1962.0
1997.0,5003.0,35.0,58182.52,1962.0
1994.0,5003.0,32.0,38601.67,1962.0
1988.0,5003.0,26.0,34206.0,1962.0
1987.0,5003.0,25.0,30370.5,1962.0
1990.0,5003.0,28.0,32997.51,1962.0
1995.0,5003.0,33.0,42764.25,1962.0
1992.0,5003.0,30.0,28991.73,1962.0
1989.0,5003.0,27.0,26728.58,1962.0
1994.0,5004.0,29.0,21807.49,1965.0
1993.0,5004.0,28.0,23959.75,1965.0
1991.0,5004.0,26.0,14510.75,1965.0
1995.0,5004.0,30.0,19444.62,1965.0
1996.0,5004.0,31.0,21232.2,1965.0
1990.0,5004.0,25.0,16322.08,1965.0
1997.0,5004.0,32.0,18880.04,1965.0
1992.0,5004.0,27.0,15438.0,1965.0
1993.0,5005.0,27.0,37083.5,1966.0
1997.0,5005.0,31.0,41466.51,1966.0
1994.0,5005.0,28.0,39490.34,1966.0
1995.0,5005.0,29.0,35295.91,1966.0
1996.0,5005.0,30.0,36148.06,1966.0
1991.0,5005.0,25.0,27534.25,1966.0
1992.0,5005.0,26.0,18840.21,1966.0
1992.0,5170.0,27.0,28991.73,1965.0
1993.0,5170.0,28.0,25909.3,1965.0
1991.0,5170.0,26.0,22167.25,1965.0
1996.0,5170.0,31.0,42593.77,1965.0
1994.0,5170.0,29.0,38601.67,1965.0
1997.0,5170.0,32.0,58182.52,1965.0
1995.0,5170.0,30.0,42764.25,1965.0
1990.0,5170.0,25.0,32997.51,1965.0
1994.0,5171.0,48.0,21807.49,1946.0
1990.0,5171.0,44.0,16322.08,1946.0
1996.0,5171.0,50.0,21232.2,1946.0
1997.0,5171.0,51.0,18880.04,1946.0
1989.0,5171.0,43.0,8239.12,1946.0
1993.0,5171.0,47.0,23959.75,1946.0
1991.0,5171.0,45.0,14510.75,1946.0
1995.0,5171.0,49.0,19444.62,1946.0
1992.0,5171.0,46.0,15438.0,1946.0
1996.0,5172.0,33.0,36148.06,1963.0
1994.0,5172.0,31.0,39490.34,1963.0
1995.0,5172.0,32.0,35295.91,1963.0
1997.0,5172.0,34.0,41466.51,1963.0
1993.0,5172.0,30.0,37083.5,1963.0
1992.0,5172.0,29.0,18840.21,1963.0
1980.0,6001.0,58.0,12186.6,1922.0
1979.0,6001.0,57.0,24890.04,1922.0
1981.0,6001.0,59.0,3377.0,1922.0
1978.0,6001.0,56.0,28834.5,1922.0
1980.0,6002.0,59.0,12186.6,1921.0
1978.0,6002.0,57.0,28834.5,1921.0
1979.0,6002.0,58.0,24890.04,1921.0
1988.0,6004.0,39.0,47544.3,1949.0
1981.0,6004.0,32.0,28182.85,1949.0
1994.0,6004.0,45.0,39158.57,1949.0
1979.0,6004.0,30.0,43408.3,1949.0
1993.0,6004.0,44.0,41269.5,1949.0
1992.0,6004.0,43.0,44097.82,1949.0
1978.0,6004.0,29.0,22193.5,1949.0
1990.0,6004.0,41.0,42574.2,1949.0
1984.0,6004.0,35.0,36748.55,1949.0
1983.0,6004.0,34.0,27025.0,1949.0
1997.0,6004.0,48.0,51911.63,1949.0
1987.0,6004.0,38.0,45464.0,1949.0
1985.0,6004.0,36.0,37704.0,1949.0
1996.0,6004.0,47.0,36611.37,1949.0
1989.0,6004.0,40.0,45336.4,1949.0
1986.0,6004.0,37.0,39696.4,1949.0
1995.0,6004.0,46.0,44803.16,1949.0
1982.0,6004.0,33.0,26082.0,1949.0
1980.0,6004.0,31.0,26064.8,1949.0
1991.0,6004.0,42.0,46107.0,1949.0
1992.0,6006.0,37.0,92573.05,1955.0
1994.0,6006.0,39.0,69938.95,1955.0
1995.0,6006.0,40.0,63384.28,1955.0
1990.0,6006.0,35.0,66384.8,1955.0
1980.0,6006.0,25.0,18581.55,1955.0
1983.0,6006.0,28.0,48481.1,1955.0
1986.0,6006.0,31.0,30504.4,1955.0
1985.0,6006.0,30.0,60166.0,1955.0
1984.0,6006.0,29.0,57628.97,1955.0
1981.0,6006.0,26.0,16319.45,1955.0
1996.0,6006.0,41.0,75074.02,1955.0
1997.0,6006.0,42.0,75487.77,1955.0
1982.0,6006.0,27.0,14210.0,1955.0
1991.0,6006.0,36.0,70143.6,1955.0
1989.0,6006.0,34.0,54367.25,1955.0
1993.0,6006.0,38.0,51567.5,1955.0
1988.0,6006.0,33.0,75618.85,1955.0
1987.0,6006.0,32.0,48341.2,1955.0
1997.0,6030.0,25.0,25701.59,1972.0
1983.0,6170.0,39.0,27025.0,1944.0
1987.0,6170.0,43.0,45464.0,1944.0
1979.0,6170.0,35.0,43408.3,1944.0
1984.0,6170.0,40.0,36748.55,1944.0
1994.0,6170.0,50.0,39158.57,1944.0
1993.0,6170.0,49.0,41269.5,1944.0
1990.0,6170.0,46.0,42574.2,1944.0
1995.0,6170.0,51.0,44803.16,1944.0
1985.0,6170.0,41.0,37704.0,1944.0
1992.0,6170.0,48.0,44097.82,1944.0
1997.0,6170.0,53.0,51911.63,1944.0
1982.0,6170.0,38.0,26082.0,1944.0
1980.0,6170.0,36.0,26064.8,1944.0
1996.0,6170.0,52.0,36611.37,1944.0
1988.0,6170.0,44.0,47544.3,1944.0
1991.0,6170.0,47.0,46107.0,1944.0
1986.0,6170.0,42.0,39696.4,1944.0
1989.0,6170.0,45.0,45336.4,1944.0
1981.0,6170.0,37.0,28182.85,1944.0
1978.0,6170.0,34.0,22193.5,1944.0
1993.0,6171.0,25.0,41269.5,1968.0
1988.0,6172.0,33.0,75618.85,1955.0
1990.0,6172.0,35.0,66384.8,1955.0
1995.0,6172.0,40.0,63384.28,1955.0
1984.0,6172.0,29.0,57628.97,1955.0
1980.0,6172.0,25.0,18581.55,1955.0
1997.0,6172.0,42.0,75487.77,1955.0
1987.0,6172.0,32.0,48341.2,1955.0
1981.0,6172.0,26.0,16319.45,1955.0
1994.0,6172.0,39.0,69938.95,1955.0
1989.0,6172.0,34.0,54367.25,1955.0
1992.0,6172.0,37.0,92573.05,1955.0
1996.0,6172.0,41.0,75074.02,1955.0
1991.0,6172.0,36.0,70143.6,1955.0
1982.0,6172.0,27.0,14210.0,1955.0
1986.0,6172.0,31.0,30504.4,1955.0
1983.0,6172.0,28.0,48481.1,1955.0
1985.0,6172.0,30.0,60166.0,1955.0
1993.0,6172.0,38.0,51567.5,1955.0
1985.0,7002.0,59.0,10536.0,1926.0
1984.0,7002.0,58.0,9492.0,1926.0
1979.0,7002.0,53.0,11810.37,1926.0
1978.0,7002.0,52.0,10559.56,1926.0
1980.0,7002.0,54.0,11431.04,1926.0
1983.0,7002.0,57.0,9480.0,1926.0
1982.0,7002.0,56.0,8294.0,1926.0
1981.0,7002.0,55.0,10343.49,1926.0
1981.0,7003.0,27.0,5742.39,1954.0
1997.0,7003.0,43.0,52939.19,1954.0
1988.0,7003.0,34.0,9759.07,1954.0
1993.0,7003.0,39.0,26978.2,1954.0
1982.0,7003.0,28.0,11542.72,1954.0
1986.0,7003.0,32.0,8047.05,1954.0
1990.0,7003.0,36.0,19532.94,1954.0
1992.0,7003.0,38.0,19537.5,1954.0
1996.0,7003.0,42.0,121691.17,1954.0
1985.0,7003.0,31.0,7932.0,1954.0
1994.0,7003.0,40.0,32534.84,1954.0
1979.0,7003.0,25.0,11857.58,1954.0
1995.0,7003.0,41.0,19752.44,1954.0
1987.0,7003.0,33.0,9387.5,1954.0
1989.0,7003.0,35.0,14469.9,1954.0
1991.0,7003.0,37.0,19846.0,1954.0
1980.0,7003.0,26.0,14597.15,1954.0
1983.0,7003.0,29.0,6892.0,1954.0
1984.0,7003.0,30.0,7788.0,1954.0
1986.0,7004.0,31.0,6295.08,1955.0
1981.0,7004.0,26.0,5532.0,1955.0
1996.0,7004.0,41.0,14604.49,1955.0
1993.0,7004.0,38.0,18877.5,1955.0
1985.0,7004.0,30.0,6065.5,1955.0
1987.0,7004.0,32.0,8176.95,1955.0
1988.0,7004.0,33.0,7633.02,1955.0
1991.0,7004.0,36.0,9276.42,1955.0
1992.0,7004.0,37.0,6888.22,1955.0
1995.0,7004.0,40.0,14973.11,1955.0
1997.0,7004.0,42.0,24764.73,1955.0
1990.0,7004.0,35.0,8470.8,1955.0
1994.0,7004.0,39.0,3335.32,1955.0
1989.0,7004.0,34.0,2830.43,1955.0
1982.0,7004.0,27.0,5400.0,1955.0
1983.0,7004.0,28.0,5700.0,1955.0
1984.0,7004.0,29.0,6478.48,1955.0
1980.0,7004.0,25.0,3795.0,1955.0
1982.0,7005.0,25.0,6548.0,1957.0
1995.0,7005.0,38.0,8595.38,1957.0
1987.0,7005.0,30.0,9288.0,1957.0
1996.0,7005.0,39.0,19386.6,1957.0
1992.0,7005.0,35.0,13665.04,1957.0
1985.0,7005.0,28.0,8652.0,1957.0
1988.0,7005.0,31.0,10023.0,1957.0
1984.0,7005.0,27.0,7836.0,1957.0
1997.0,7005.0,40.0,15314.0,1957.0
1991.0,7005.0,34.0,14302.95,1957.0
1989.0,7005.0,32.0,10752.0,1957.0
1990.0,7005.0,33.0,13156.83,1957.0
1986.0,7005.0,29.0,8820.0,1957.0
1994.0,7005.0,37.0,8520.8,1957.0
1993.0,7005.0,36.0,15156.0,1957.0
1983.0,7005.0,26.0,7104.0,1957.0
1997.0,7030.0,25.0,24764.73,1972.0
1984.0,7170.0,31.0,7788.0,1953.0
1982.0,7170.0,29.0,11542.72,1953.0
1997.0,7170.0,44.0,52939.19,1953.0
1993.0,7170.0,40.0,26978.2,1953.0
1989.0,7170.0,36.0,14469.9,1953.0
1996.0,7170.0,43.0,121691.17,1953.0
1980.0,7170.0,27.0,14597.15,1953.0
1987.0,7170.0,34.0,9387.5,1953.0
1981.0,7170.0,28.0,5742.39,1953.0
1991.0,7170.0,38.0,19846.0,1953.0
1985.0,7170.0,32.0,7932.0,1953.0
1994.0,7170.0,41.0,32534.84,1953.0
1990.0,7170.0,37.0,19532.94,1953.0
1986.0,7170.0,33.0,8047.05,1953.0
1978.0,7170.0,25.0,9235.21,1953.0
1983.0,7170.0,30.0,6892.0,1953.0
1992.0,7170.0,39.0,19537.5,1953.0
1995.0,7170.0,42.0,19752.44,1953.0
1979.0,7170.0,26.0,11857.58,1953.0
1988.0,7170.0,35.0,9759.07,1953.0
1997.0,7171.0,41.0,15314.0,1956.0
1992.0,7171.0,36.0,13665.04,1956.0
1993.0,7171.0,37.0,15156.0,1956.0
1985.0,7171.0,29.0,8652.0,1956.0
1991.0,7171.0,35.0,14302.95,1956.0
1994.0,7171.0,38.0,8520.8,1956.0
1996.0,7171.0,40.0,19386.6,1956.0
1989.0,7171.0,33.0,10752.0,1956.0
1982.0,7171.0,26.0,6548.0,1956.0
1990.0,7171.0,34.0,13156.83,1956.0
1983.0,7171.0,27.0,7104.0,1956.0
1986.0,7171.0,30.0,8820.0,1956.0
1981.0,7171.0,25.0,5488.0,1956.0
1984.0,7171.0,28.0,7836.0,1956.0
1987.0,7171.0,31.0,9288.0,1956.0
1988.0,7171.0,32.0,10023.0,1956.0
1995.0,7171.0,39.0,8595.38,1956.0
1995.0,7177.0,25.0,18988.09,1970.0
1996.0,7177.0,26.0,29770.72,1970.0
1995.0,7179.0,50.0,14482.53,1945.0
