Year,id,delta_income,income
1979.0,340001.0,385.25,23731.0
1979.0,343001.0,-199.84999999999854,16919.9
1979.0,344171.0,1882.4499999999998,9569.75
1979.0,347002.0,-849.0900000000001,18431.86
1979.0,350001.0,-5893.060000000001,22545.12
1979.0,351004.0,4622.880000000001,17387.18
1979.0,351170.0,-1428.4500000000007,7568.59
1979.0,351171.0,4622.880000000001,17387.18
1979.0,352001.0,-657.8999999999978,17995.45
1979.0,355001.0,-3891.6500000000015,21413.85
1979.0,355003.0,3161.0399999999972,23230.85
1979.0,355170.0,3161.0399999999972,23230.85
1979.0,356001.0,31510.74,43791.08
1979.0,358001.0,3667.6500000000015,16474.15
1979.0,361001.0,-2470.209999999999,15998.68
1979.0,364021.0,2121.0,27307.13
1979.0,368001.0,-625.5999999999985,22405.65
1979.0,372001.0,634.5,12325.4
1979.0,374001.0,3165.42,14719.8
1979.0,374003.0,1658.8599999999988,13310.98
1979.0,374004.0,5044.67,10245.17
1979.0,375001.0,3779.2999999999993,27239.05
1979.0,376001.0,1476.2000000000007,24055.95
1979.0,376002.0,457.8100000000004,7358.21
1979.0,377001.0,1183.75,25957.4
1979.0,378001.0,-396.64999999999964,8819.0
1979.0,389001.0,6971.989999999998,38424.34
1979.0,391001.0,64265.05000000001,119410.57
1979.0,391003.0,8157.24,18470.5
1979.0,397001.0,895.6499999999996,14760.0
1979.0,404001.0,2552.4500000000007,23194.74
1979.0,404003.0,2552.4500000000007,23194.74
1979.0,404004.0,2552.4500000000007,23194.74
1979.0,409001.0,-16118.530000000002,10294.71
1979.0,409170.0,-16118.530000000002,10294.71
1979.0,409171.0,-2197.5999999999985,20605.15
1979.0,412001.0,3671.4199999999983,28139.25
1979.0,414001.0,1574.5,21254.0
1979.0,414002.0,1574.5,21254.0
1979.0,414005.0,1880.6299999999992,14804.3
1979.0,414170.0,2162.4000000000015,20689.15
1979.0,414171.0,-2413.9500000000007,11912.75
1979.0,414172.0,1880.6299999999992,14804.3
1979.0,415001.0,2830.5,18960.25
1979.0,417001.0,1649.7199999999993,17919.64
1979.0,417002.0,1649.7199999999993,17919.64
1979.0,418001.0,686.7000000000007,13810.95
1979.0,419170.0,4824.26,9502.0
1979.0,423001.0,513.0799999999999,10945.53
1979.0,423003.0,524.1000000000004,7382.35
1979.0,423004.0,-159.10000000000036,8697.3
1979.0,424003.0,1270.4900000000016,18631.15
1979.0,424170.0,1270.4900000000016,18631.15
1979.0,428001.0,-1410.3499999999985,33553.36
1979.0,430001.0,2829.960000000001,18936.81
1979.0,430170.0,2829.960000000001,18936.81
1979.0,431001.0,1301.5599999999995,15531.76
1979.0,432001.0,1292.7300000000014,16358.94
1979.0,432003.0,831.5499999999993,17374.75
1979.0,432171.0,831.5499999999993,17374.75
1979.0,433001.0,2584.4000000000015,20131.4
1979.0,433006.0,2010.0,10374.75
